createdDate,lastModifiedDate,createdBy,dtxsid,selected,casrn,compoundId,genericSubstanceId,preferredName,activeAssays,cpdataCount,isotope,molFormula,averageMass,monoisotopicMass,multicomponent,percentAssays,pubchemCount,pubmedCount,qcLevel,qcLevelDesc,sourcesCount,stereo,totalAssays,toxcastSelect,iupacName,smiles,inchiString,inchiKey,hasStructureImage,relatedSubstanceCount,relatedStructureCount,endpointName,ac50,hitc,logAc50,scaledTop,top,bmad,maxMedVal,maxMedConc,_links
,,,DTXSID0020022,False,50594-66-6,22.0,20022,Acifluorfen,73,3.0,0.0,C14H7ClF3NO5,361.66,360.9964845,0,8.0,98.0,50.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",129,0.0,965,73/965,5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)
",NUFNQYOELLVIPL-UHFFFAOYSA-N,True,1.0,1.0,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.400155425017761,0.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956e3b2dd933befcafc70'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956e3b2dd933befcafc70{?projection}', 'templated': True}}"
,,,DTXSID0020319,False,1897-45-6,319.0,20319,Chlorothalonil,377,167.0,0.0,C8Cl4N2,265.9,263.8815588,0,35.0,146.0,251.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",232,0.0,1065,377/1065,"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile",ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14,CRQQGFGUEAVUIL-UHFFFAOYSA-N,True,35.0,30.0,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.0687517618749675,-1.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956eeb2dd933befcb23aa'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956eeb2dd933befcb23aa{?projection}', 'templated': True}}"
,,,DTXSID0020442,False,94-75-7,442.0,20442,"2,4-Dichlorophenoxyacetic acid",39,93.0,0.0,C8H6Cl2O3,221.03,219.9693995,0,4.0,216.0,2614.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",257,0.0,969,39/969,"(2,4-Dichlorophenoxy)acetic acid",OC(=O)COC1=C(Cl)C=C(Cl)C=C1,"InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)",OVSKIKFHRZPJSS-UHFFFAOYSA-N,True,14.0,10.0,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.337034987277571,-0.397940008672038,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f2b2dd933befcb3148'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f2b2dd933befcb3148{?projection}', 'templated': True}}"
,,,DTXSID0020446,False,330-54-1,446.0,20446,Diuron,119,52.0,0.0,C9H10Cl2N2O,233.09,232.0170184,0,11.0,165.0,1257.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",265,0.0,1042,119/1042,"N'-(3,4-Dichlorophenyl)-N,N-dimethylurea",CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)
",XMTQQYYKAHVGBJ-UHFFFAOYSA-N,True,5.0,3.0,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.355826985372429,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f3b2dd933befcb3636'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f3b2dd933befcb3636{?projection}', 'templated': True}}"
,,,DTXSID0020573,False,50-28-2,573.0,20573,17beta-Estradiol,217,7.0,0.0,C18H24O2,272.388,272.177630013,0,22.0,428.0,81966.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",199,1.0,978,217/978,"Estra-1(10),2,4-triene-3,17beta-diol",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1
",VOXZDWNPVJITMN-ZBRFXRBCSA-N,True,2.0,1.0,CEETOX_H295R_ESTRADIOL_up,0.7670199013379622,1,-0.115193367564538,13.74447748100728,15.3480802314752,0.186112085777529,11.4024055644409,1.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f9b2dd933befcb47ac'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f9b2dd933befcb47ac{?projection}', 'templated': True}}"
,,,DTXSID0020814,False,72-33-3,814.0,20814,Mestranol,157,,0.0,C21H26O2,310.437,310.193280077,0,21.0,141.0,2460.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",130,1.0,752,157/752,"3-Methoxy-17alpha-19-norpregna-1,3,5(10)-trien-20-yn-17-ol",COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,"InChI=1S/C21H26O2/c1-4-21(22)12-10-19-18-7-5-14-13-15(23-3)6-8-16(14)17(18)9-11-20(19,21)2/h1,6,8,13,17-19,22H,5,7,9-12H2,2-3H3/t17-,18-,19+,20+,21+/m1/s1",IMSSROKUHAOUJS-MJCUULBUSA-N,True,1.0,,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.368658207471037,-0.221848749616356,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956ffb2dd933befcb6274'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956ffb2dd933befcb6274{?projection}', 'templated': True}}"
,,,DTXSID0021094,False,101-80-4,1094.0,21094,"4,4'-Oxydianiline",68,2.0,0.0,C12H12N2O,200.241,200.094963014,0,8.0,157.0,15.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",144,0.0,906,68/906,"4,4'-Oxydianiline",NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",HLBLWEWZXPIGSM-UHFFFAOYSA-N,True,1.0,,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.160770162878492,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095703b2dd933befcb7051'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095703b2dd933befcb7051{?projection}', 'templated': True}}"
,,,DTXSID0020943,False,99-59-2,943.0,20943,5-Nitro-o-anisidine,27,,0.0,C7H8N2O3,168.152,168.053492126,0,3.0,123.0,3.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",113,0.0,889,27/889,2-Methoxy-5-nitroaniline,COC1=C(N)C=C(C=C1)[N+]([O-])=O,"InChI=1S/C7H8N2O3/c1-12-7-3-2-5(9(10)11)4-6(7)8/h2-4H,8H2,1H3
",NIPDVSLAMPAWTP-UHFFFAOYSA-N,True,1.0,1.0,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,-0.176408770400064,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095702b2dd933befcb6b46'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095702b2dd933befcb6b46{?projection}', 'templated': True}}"
,,,DTXSID0021125,False,77-09-8,1125.0,21125,Phenolphthalein,261,162.0,0.0,C20H14O4,318.328,318.089208931,0,29.0,256.0,454.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",164,0.0,912,261/912,"3,3-Bis(4-hydroxyphenyl)-2-benzofuran-1(3H)-one",OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,"InChI=1S/C20H14O4/c21-15-9-5-13(6-10-15)20(14-7-11-16(22)12-8-14)18-4-2-1-3-17(18)19(23)24-20/h1-12,21-22H",KJFMBFZCATUALV-UHFFFAOYSA-N,True,,,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.125330479937703,0.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095705b2dd933befcb7a08'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095705b2dd933befcb7a08{?projection}', 'templated': True}}"
,,,DTXSID0021337,False,148-79-8,1337.0,21337,Thiabendazole,81,6.0,0.0,C10H7N3S,201.25,201.036068411,0,8.0,273.0,1767.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",227,0.0,985,81/985,"2-(1,3-Thiazol-4-yl)-1H-benzimidazole",N1C2=C(C=CC=C2)N=C1C1=CSC=N1,"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)
",WJCNZQLZVWNLKY-UHFFFAOYSA-N,True,4.0,2.0,CEETOX_H295R_ESTRADIOL_up,,0,,,,0.186112085777529,0.173961651710153,1.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/6109570cb2dd933befcb9270'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/6109570cb2dd933befcb9270{?projection}', 'templated': True}}"
