createdDate,lastModifiedDate,createdBy,dtxsid,selected,casrn,compoundId,genericSubstanceId,preferredName,activeAssays,cpdataCount,isotope,molFormula,averageMass,monoisotopicMass,multicomponent,percentAssays,pubchemCount,pubmedCount,qcLevel,qcLevelDesc,sourcesCount,stereo,totalAssays,toxcastSelect,iupacName,smiles,inchiString,inchiKey,hasStructureImage,relatedSubstanceCount,relatedStructureCount,endpointName,ac50,hitc,logAc50,scaledTop,top,bmad,maxMedVal,maxMedConc,_links
,,,DTXSID0020498,False,120-61-6,498.0,20498,Dimethyl terephthalate,33,2.0,0.0,C10H10O4,194.186,194.057908802,0,4.0,143.0,35.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",147,0.0,838,33/838,"Dimethyl benzene-1,4-dicarboxylate",COC(=O)C1=CC=C(C=C1)C(=O)OC,"InChI=1S/C10H10O4/c1-13-9(11)7-3-5-8(6-4-7)10(12)14-2/h3-6H,1-2H3
",WOZVHXUHUFLZGK-UHFFFAOYSA-N,True,4.0,,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.459797508702367,1.69897000433602,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f6b2dd933befcb3c69'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610956f6b2dd933befcb3c69{?projection}', 'templated': True}}"
,,,DTXSID0021254,False,94-59-7,1254.0,21254,Safrole,14,6.0,0.0,C10H10O2,162.188,162.068079562,0,2.0,124.0,519.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",152,0.0,877,14/877,"5-(Prop-2-en-1-yl)-2H-1,3-benzodioxole",C=CCC1=CC=C2OCOC2=C1,"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2",ZMQAAUBTXCXRIC-UHFFFAOYSA-N,True,2.0,2.0,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.0751708752635908,1.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095708b2dd933befcb8595'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095708b2dd933befcb8595{?projection}', 'templated': True}}"
,,,DTXSID0021331,False,55566-30-8,1331.0,21331,Tetrakis(hydroxymethyl)phosphonium sulfate,50,,0.0,C8H24O12P2S,406.28,406.046371383,1,12.0,67.0,27.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",95,0.0,426,50/426,Bis[tetrakis(hydroxymethyl)phosphanium] sulfate,[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO,"InChI=1S/2C4H12O4P.H2O4S/c2*5-1-9(2-6,3-7)4-8;1-5(2,3)4/h2*5-8H,1-4H2;(H2,1,2,3,4)/q2*+1;/p-2",YIEDHPBKGZGLIK-UHFFFAOYSA-L,True,,,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.24809403688481,1.30102999566398,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/6109570ab2dd933befcb8cca'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/6109570ab2dd933befcb8cca{?projection}', 'templated': True}}"
,,,DTXSID0021460,False,17924-92-4,1460.0,21460,Zearalenone,181,,0.0,C18H22O5,318.369,318.146723808,0,34.0,130.0,1405.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",120,1.0,534,181/534,"(3S,11E)-14,16-Dihydroxy-3-methyl-3,4,5,6,9,10-hexahydro-1H-2-benzoxacyclotetradecine-1,7(8H)-dione",C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,"InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1
",MBMQEIFVQACCCH-QBODLPLBSA-N,True,8.0,5.0,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.293091622611405,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095711b2dd933befcba7b6'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095711b2dd933befcba7b6{?projection}', 'templated': True}}"
,,,DTXSID0023878,False,120-12-7,3878.0,23878,Anthracene,52,27.0,0.0,C14H10,178.234,178.078250322,0,6.0,207.0,872.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",221,0.0,915,52/915,Anthracene,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,MWPLVEDNUUSJAV-UHFFFAOYSA-N,True,2.0,,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.495971465456821,1.69897000433602,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095735b2dd933befcc32fe'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095735b2dd933befcc32fe{?projection}', 'templated': True}}"
,,,DTXSID0032651,False,51707-55-2,12651.0,32651,Thidiazuron,196,,0.0,C9H8N4OS,220.25,220.041882068,0,19.0,117.0,89.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",121,0.0,1007,196/1007,"N-Phenyl-N'-1,2,3-thiadiazol-5-ylurea",O=C(NC1=CN=NS1)NC1=CC=CC=C1,"InChI=1S/C9H8N4OS/c14-9(12-8-6-10-13-15-8)11-7-4-2-1-3-5-7/h1-6H,(H2,11,12,14)",HFCYZXMHUIHAQI-UHFFFAOYSA-N,True,,,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.190154518237025,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/6109577ab2dd933befcd4057'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/6109577ab2dd933befcd4057{?projection}', 'templated': True}}"
,,,DTXSID0040707,False,33228-44-3,20707.0,40707,4-Pentylaniline,80,,0.0,C11H17N,163.264,163.136099551,0,9.0,94.0,,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",59,0.0,886,80/886,4-Pentylaniline,CCCCCC1=CC=C(N)C=C1,"InChI=1S/C11H17N/c1-2-3-4-5-10-6-8-11(12)9-7-10/h6-9H,2-5,12H2,1H3
",DGFTWBUZRHAHTH-UHFFFAOYSA-N,True,,,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.110806785885935,1.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095798b2dd933befcdb637'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095798b2dd933befcdb637{?projection}', 'templated': True}}"
,,,DTXSID0042167,False,877-24-7,22167.0,42167,Monopotassium phthalate,5,180.0,0.0,C8H5KO4,204.222,203.98249013,1,1.0,116.0,1133.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",81,0.0,450,5/450,Potassium 2-carboxybenzoate,[K+].OC(=O)C1=C(C=CC=C1)C([O-])=O,"InChI=1S/C8H6O4.K/c9-7(10)5-3-1-2-4-6(5)8(11)12;/h1-4H,(H,9,10)(H,11,12);/q;+1/p-1",IWZKICVEHNUQTL-UHFFFAOYSA-M,True,,,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.159414442042723,0.602059991327962,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610957a5b2dd933befcde9bb'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/610957a5b2dd933befcde9bb{?projection}', 'templated': True}}"
,,,DTXSID0052621,False,93-16-3,31194.0,52621,4-Prop-1-enylveratrole,10,2.0,0.0,C11H14O2,178.231,178.099379691,0,3.0,46.0,26.0,2,"Level 2: Expert curated, unique chemical identifiers confirmed using multiple public sources",95,0.0,308,10/308,"1,2-Dimethoxy-4-(prop-1-en-1-yl)benzene",COC1=C(OC)C=C(C=CC)C=C1,"InChI=1S/C11H14O2/c1-4-5-9-6-7-10(12-2)11(8-9)13-3/h4-8H,1-3H3",NNWHUJCUHAELCL-UHFFFAOYSA-N,True,,,CEETOX_H295R_ESTRONE_noMTC_up,17.25479584549942,0,1.23690982519241,1.201912606438442,1.52774786812813,0.211849549895758,1.25402199654113,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095818b2dd933befcfa7b2'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095818b2dd933befcfa7b2{?projection}', 'templated': True}}"
,,,DTXSID1021956,False,117-84-0,1956.0,21956,Di-n-octyl phthalate,28,83.0,0.0,C24H38O4,390.564,390.277009704,0,3.0,135.0,2191.0,1,"Level 1: Expert curated, highest confidence in accuracy and consistency of unique chemical identifiers",203,0.0,886,28/886,"Dioctyl benzene-1,2-dicarboxylate",CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,"InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3",MQIUGAXCHLFZKX-UHFFFAOYSA-N,True,3.0,2.0,CEETOX_H295R_ESTRONE_noMTC_up,,0,,,,0.211849549895758,0.226420314038952,2.0,"{'self': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095857b2dd933befd09c76'}, 'assay-list-detail': {'href': 'http://ccte-api-ccd.epa.gov/ccdapp2/assay-list-details/61095857b2dd933befd09c76{?projection}', 'templated': True}}"
